名稱,藝人,作曲者,專輯,分類,作品,樂章編號,樂章,樂章名稱,類型,大小,時間長度,光碟編號,光碟數量,音軌編號,音軌數量,年份,修改日期,加入的日期,位元率,取樣頻率,音量調整,種類,等化器,註解,播放次數,最近播放,略過次數,上次略過的日期,喜好程度,位置
摩天動物園,鄧紫棋,G.E.M.,摩天動物園 - Single,,,,,,Mandopop,9607709,270,1,1,1,1,2019,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,1.0,2025/5/26 03:48,,,,
"無名之輩 (電視劇《親愛的, 熱愛的》主題曲)",陳雪燃,Sean Tang,"無名之輩 (電視劇《親愛的, 熱愛的》主題曲) - Single",,,,,,Mandopop,9559168,262,1,1,1,1,2019,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,,,,,,
想見你想見你想見你 (電視劇《想見你》片尾曲),八三夭,Li Xian Pu,想見你想見你想見你 (電視劇《想見你》片尾曲) - Single,,,,,,Mandopop,8581140,239,1,1,1,1,2019,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,1.0,2025/5/26 03:36,,,,
當我們一起走過,蘇打綠,史俊威,你在煩惱什麼,,,,,,Mandopop,10036961,284,1,1,8,11,2011,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,2.0,2025/5/27 03:06,,,,
你的情歌 (電影《你的情歌》主題曲),Tank Lu,,你的情歌 (電影《你的情歌》主題曲) - Single,,,,,,Mandopop,9795547,283,1,1,1,1,2020,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,1.0,2025/5/22 03:52,,,,
小時候的我們,周興哲,Eric Chou,小時候的我們,,,,,,Mandopop,7274387,207,1,1,2,11,2020,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,,,,,,
回家的路 (《前空軍桃園基地設施群展示計畫》主題曲),白安,,回家的路 (《前空軍桃園基地設施群展示計畫》主題曲) - Single,,,,,,Mandopop,8583635,242,1,1,1,1,2020,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,1.0,2025/5/21 01:28,,,,
我很愉快,孫燕姿,Lu Kang Wei,No.13 作品 : 跳舞的梵谷,,,,,,Mandopop,9622749,275,1,1,2,10,2017,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,1.0,2025/5/23 19:54,,,,
跳舞的梵谷,孫燕姿,TOL_The Little Prince,No.13 作品 : 跳舞的梵谷,,,,,,Mandopop,7097559,188,1,1,3,10,2017,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,2.0,2025/5/27 03:09,,,,
誰,李友廷,,找到我 - EP,,,,,,Mandopop,9022480,248,1,1,3,4,2018,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,,,,,,
Tomorrow will be fine.,蘇打綠,Jun Wei Shi,Tomorrow will be fine. - Single,,,,,,Mandopop,10713522,299,1,1,1,1,2020,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,,,,,,
我懷念的,孫燕姿,Li Sisong,逆光,,,,,,Mandopop,10266275,289,1,1,5,12,2007,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,1.0,,,,,
遇見,孫燕姿,Yatfung,這一刻,,,,,,Mandopop,7537736,209,1,2,2,5,2003,2022/12/28 12:57,2024/12/18 01:50,256,44100,,Apple Music AAC音訊檔,,,12.0,2025/7/3 22:41,1.0,2025/7/6 18:13,,
克卜勒,孫燕姿,Hush,克卜勒,,,,,,Mandopop,9134781,249,1,1,1,10,2014,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,,,,,,
我們的愛,飛兒樂團,"Ian Chen, Faye & Real Huang",飛兒樂團,,,,,,Mandopop,10129402,287,1,1,5,13,2004,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,2.0,2025/5/23 20:14,,,,
那些年,胡夏,MITSUTOSHI KIMURA,"那些年,我們一起追的女孩 (電影原聲帶)",,,,,,Soundtrack,12797192,371,1,1,13,14,2011,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,,,,,,
飄向北方 (feat. 王力宏),黃明志,Namewee,亞洲通車,,,,,,Mandopop,9681250,269,1,1,2,10,2016,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,1.0,2025/5/21 02:19,,,,
小幸運 (電影《我的少女時代》主題曲),田馥甄,,小幸運 (電影《我的少女時代》主題曲) - Single,,,,,,Mandopop,9495196,265,1,1,1,1,2015,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,,,,,,
聽見下雨的聲音(電影主題曲),魏如昀,,聽見下雨的聲音電影原聲帶,,,,,,Soundtrack,9710206,281,1,1,18,19,2013,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,1.0,2025/5/21 20:03,,,,
